United States,"19,485,394",,,
China,"12,237,700",,,
Japan,"4,872,415",,,
Germany,"3,693,204",,,
India,"2,650,725",,,
United Kingdom,"2,637,866",,,
France,"2,582,501",,,
Brazil,"2,053,595",,,
Italy,"1,943,835",,,
Canada,"1,647,120",,,
Russian Federation,"1,578,417",,,
"Korea, Rep.","1,530,751",,,
Australia,"1,323,421",,,
Spain,"1,314,314",,,
Mexico,"1,150,888",,,
Indonesia,"1,015,421",,,
Turkey,"851,549",,,
Netherlands,"830,573",,,
Saudi Arabia,"686,738",,,
Switzerland,"678,965",,,
Argentina,"637,430",,,
Sweden,"535,607",,,
Poland,"526,466",,,
Belgium,"494,764",,,
Thailand,"455,303",,,
"Iran, Islamic Rep.","454,013",,,
Austria,"416,836",,,
Norway,"399,489",,,
United Arab Emirates,"382,575",,,
Nigeria,"375,745",,,
Israel,"353,268",,,
South Africa,"348,872",,,
"Hong Kong SAR, China","341,449",,,
Ireland,"331,430",,,
Denmark,"329,866",,,
Singapore,"323,907",,,
Malaysia,"314,710",,,
Colombia,"314,458",,,
Philippines,"313,595",,,
Pakistan,"304,952",,,
Chile,"277,076",,,
Finland,"252,302",,,
Bangladesh,"249,724",,,
"Egypt, Arab Rep.","235,369",,,
Vietnam,"223,780",,,
Portugal,"219,308",,,
Czech Republic,"215,914",,,
Romania,"211,884",,,
Peru,"211,389",,,
New Zealand,"204,139",,,
Greece,"203,086",,,
Iraq,"192,061",,,
Algeria,"167,555",,,
Qatar,"166,929",,,
Kazakhstan,"162,887",,,
Hungary,"139,761",,,
Angola,"122,124",,,
Kuwait,"120,126",,,
Sudan,"117,488",,,
Ukraine,"112,154",,,
Morocco,"109,709",,,
Ecuador,"104,296",,,
Puerto Rico,"103,961",,,
Cuba,"96,851",,,
Slovak Republic,"95,618",,,
Sri Lanka,"87,357",,,
Ethiopia,"80,561",,,
Kenya,"79,263",,,
Dominican Republic,"75,932",,,
Guatemala,"75,620",,,
Oman,"70,784",,,
Myanmar,"67,069",,,
Luxembourg,"62,316",,,
Panama,"62,284",,,
Ghana,"58,997",,,
Bulgaria,"58,221",,,
Costa Rica,"57,286",,,
